DISTRICT,DATE,COUNT
Kingston upon Thames,2019-06-01,1262
Kingston upon Thames,2019-07-01,1362
Kingston upon Thames,2019-08-01,1245
Lambeth,2017-01-01,3530
Lambeth,2017-02-01,3000
Lambeth,2017-03-01,3554
Lambeth,2017-04-01,3477
Lambeth,2017-05-01,3693
Lambeth,2017-06-01,3729
Lambeth,2017-07-01,4275
Lambeth,2017-08-01,4148
Lambeth,2017-09-01,3588
Lambeth,2017-10-01,3919
Lambeth,2017-11-01,3712
Lambeth,2017-12-01,3158
Lambeth,2018-01-01,3496
Lambeth,2018-02-01,3140
Lambeth,2018-03-01,3433
Lambeth,2018-04-01,3584
Lambeth,2018-05-01,3813
Lambeth,2018-06-01,3854
Lambeth,2018-07-01,4161
Lambeth,2018-08-01,3669
Lambeth,2018-09-01,3522
Lambeth,2018-10-01,3737
Lambeth,2018-11-01,3699
Lambeth,2018-12-01,3302
Lambeth,2019-01-01,3337
Lambeth,2019-02-01,3398
Lambeth,2019-03-01,3817
Lambeth,2019-04-01,3466
Lambeth,2019-05-01,3804
Lambeth,2019-06-01,3782
Lambeth,2019-07-01,4042
Lambeth,2019-08-01,3692
Lewisham,2017-01-01,2323
Lewisham,2017-02-01,2320
Lewisham,2017-03-01,2744
Lewisham,2017-04-01,2492
Lewisham,2017-05-01,2743
Lewisham,2017-06-01,2588
Lewisham,2017-07-01,2783
Lewisham,2017-08-01,2814
Lewisham,2017-09-01,2658
Lewisham,2017-10-01,2576
Lewisham,2017-11-01,2498
Lewisham,2017-12-01,2459
Lewisham,2018-01-01,2636
Lewisham,2018-02-01,2216
Lewisham,2018-03-01,2491
Lewisham,2018-04-01,2552
Lewisham,2018-05-01,2805
Lewisham,2018-06-01,2663
Lewisham,2018-07-01,2974
Lewisham,2018-08-01,2707
Lewisham,2018-09-01,2601
Lewisham,2018-10-01,2951
Lewisham,2018-11-01,2699
Lewisham,2018-12-01,2662
Lewisham,2019-01-01,2662
Lewisham,2019-02-01,2546
Lewisham,2019-03-01,2945
Lewisham,2019-04-01,2727
Lewisham,2019-05-01,3197
Lewisham,2019-06-01,2999
Lewisham,2019-07-01,3116
Lewisham,2019-08-01,2989
Merton,2017-01-01,1313
Merton,2017-02-01,1317
Merton,2017-03-01,1398
Merton,2017-04-01,1321
Merton,2017-05-01,1536
Merton,2017-06-01,1471
Merton,2017-07-01,1535
Merton,2017-08-01,1458
Merton,2017-09-01,1447
Merton,2017-10-01,1472
Merton,2017-11-01,1421
Merton,2017-12-01,1369
Merton,2018-01-01,1402
Merton,2018-02-01,1300
Merton,2018-03-01,1282
Merton,2018-04-01,1392
Merton,2018-05-01,1508
Merton,2018-06-01,1398
Merton,2018-07-01,1521
Merton,2018-08-01,1478
Merton,2018-09-01,1332
Merton,2018-10-01,1543
Merton,2018-11-01,1473
Merton,2018-12-01,1529
Merton,2019-01-01,1483
Merton,2019-02-01,1305
Merton,2019-03-01,1516
Merton,2019-04-01,1469
Merton,2019-05-01,1459
Merton,2019-06-01,1497
Merton,2019-07-01,1616
Merton,2019-08-01,1539
Newham,2017-01-01,3131
Newham,2017-02-01,2965
Newham,2017-03-01,3714
Newham,2017-04-01,3439
Newham,2017-05-01,3426
Newham,2017-06-01,3494
Newham,2017-07-01,3908
Newham,2017-08-01,3571
Newham,2017-09-01,3462
Newham,2017-10-01,3759
Newham,2017-11-01,3617
Newham,2017-12-01,3245
Newham,2018-01-01,3447
Newham,2018-02-01,3022
Newham,2018-03-01,3438
Newham,2018-04-01,3476
Newham,2018-05-01,3604
Newham,2018-06-01,3818
Newham,2018-07-01,3897
Newham,2018-08-01,3625
Newham,2018-09-01,3529
Newham,2018-10-01,3843
Newham,2018-11-01,3717
Newham,2018-12-01,3478
Newham,2019-01-01,3378
Newham,2019-02-01,3382
Newham,2019-03-01,3619
Newham,2019-04-01,3390
Newham,2019-05-01,3748
Newham,2019-06-01,3915
Newham,2019-07-01,3942
Newham,2019-08-01,3522
Redbridge,2017-01-01,2206
Redbridge,2017-02-01,2093
Redbridge,2017-03-01,2467
Redbridge,2017-04-01,2244
Redbridge,2017-05-01,2598
Redbridge,2017-06-01,2583
Redbridge,2017-07-01,2687
Redbridge,2017-08-01,2529
Redbridge,2017-09-01,2600
Redbridge,2017-10-01,2713
Redbridge,2017-11-01,2393
Redbridge,2017-12-01,2282
Redbridge,2018-01-01,2526
Redbridge,2018-02-01,2201
Redbridge,2018-03-01,2288
Redbridge,2018-04-01,2489
Redbridge,2018-05-01,2368
Redbridge,2018-06-01,2450
Redbridge,2018-07-01,2640
Redbridge,2018-08-01,2236
Redbridge,2018-09-01,2353
Redbridge,2018-10-01,2634
Redbridge,2018-11-01,2543
Redbridge,2018-12-01,2379
Redbridge,2019-01-01,2430
Redbridge,2019-02-01,2353
Redbridge,2019-03-01,2477
Redbridge,2019-04-01,2397
Redbridge,2019-05-01,2478
Redbridge,2019-06-01,2500
Redbridge,2019-07-01,2479
Redbridge,2019-08-01,2280
Richmond upon Thames,2017-01-01,1184
Richmond upon Thames,2017-02-01,1172
